2016/01/20 14:35:33 Process Name : csrss, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.006354215113870862, RAM usage : 4648.0, Sent Data : 198.1394656990357, Received Data : 0.0, Process ID : 528, Type : Windows
2016/01/20 14:35:33 Process Name : csrss#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.05336359422552309, RAM usage : 5648.0, Sent Data : 449.8987622505795, Received Data : 0.0, Process ID : 604, Type : Windows
2016/01/20 14:35:33 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 12472.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2676, Type : Windows
2016/01/20 14:35:33 Process Name : dwm, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.04925561322424723, RAM usage : 59840.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1780, Type : Windows
2016/01/20 14:35:33 Process Name : explorer, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.3351528323287677, RAM usage : 83628.0, Sent Data : 1173.701695710333, Received Data : 27.548437585470552, Process ID : 3408, Type : Windows
2016/01/20 14:35:33 Process Name : httpd, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 18976.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2360, Type : Windows
2016/01/20 14:35:33 Process Name : httpd#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 22232.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4364, Type : Windows
2016/01/20 14:35:33 Process Name : igfxCUIService, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 5324.0, Sent Data : 29.900685530405188, Received Data : 0.0, Process ID : 1276, Type : Windows
2016/01/20 14:35:33 Process Name : igfxEM, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 8268.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2156, Type : Windows
2016/01/20 14:35:33 Process Name : igfxHK, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 5800.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2212, Type : Windows
2016/01/20 14:35:33 Process Name : igfxTray, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 8080.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4100, Type : Windows
2016/01/20 14:35:33 Process Name : iusb3mon, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3616.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3964, Type : Windows
2016/01/20 14:35:33 Process Name : jucheck, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 13484.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2556, Type : Windows
2016/01/20 14:35:33 Process Name : jusched, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0016938527953786746, RAM usage : 5744.0, Sent Data : 1.8371931048969665, Received Data : 1.7373012688282625, Process ID : 532, Type : Windows
2016/01/20 14:35:33 Process Name : lsass, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.022020086339922768, RAM usage : 9104.0, Sent Data : 27.72732717341081, Received Data : 29.030312521245754, Process ID : 692, Type : Windows
2016/01/20 14:35:33 Process Name : lsm, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0016938527953786746, RAM usage : 6088.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 708, Type : Windows
2016/01/20 14:35:33 Process Name : msseces, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0015888907494929268, RAM usage : 12404.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3780, Type : Windows
2016/01/20 14:35:33 Process Name : mysqld, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 1173464.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2144, Type : Windows
2016/01/20 14:35:33 Process Name : notepad, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4344, Type : Windows
2016/01/20 14:35:33 Process Name : oracle, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.32385619957480355, RAM usage : 1539912.0, Sent Data : 223980.17806029716, Received Data : 13929.9737693694, Process ID : 2272, Type : Windows
2016/01/20 14:35:33 Process Name : services, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.06146049370324143, RAM usage : 16860.0, Sent Data : 1.7006088775747696, Received Data : 2649.030265766475, Process ID : 680, Type : Windows
2016/01/20 14:35:33 Process Name : smss, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 1716.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/20 14:35:33 Process Name : spoolsv, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 13256.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1612, Type : Windows
2016/01/20 14:35:33 Process Name : sqlservr, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.012767604575652297, RAM usage : 196136.0, Sent Data : 0.0, Received Data : 11.394989043413899, Process ID : 2104, Type : Windows
2016/01/20 14:35:33 Process Name : sqlwriter, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2596, Type : Windows
2016/01/20 14:35:33 Process Name : sshd, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 15280.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2788, Type : Windows
2016/01/20 14:35:33 Process Name : svchost, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.025405209980557505, RAM usage : 9352.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 816, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#1, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.006774722661482001, RAM usage : 8868.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 896, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#10, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2704, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#11, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3712.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2568, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#12, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4760.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4752, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#2, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.024557537800665365, RAM usage : 47632.0, Sent Data : 48409.810328724096, Received Data : 4195.021739831413, Process ID : 408, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#3, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.3946142281072435, RAM usage : 209552.0, Sent Data : 100971.05918532256, Received Data : 14375.389185890486, Process ID : 400, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#4, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.008468116482988057, RAM usage : 9528.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 912, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#5, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.03895333582174506, RAM usage : 51312.0, Sent Data : 10559.416030700386, Received Data : 10183.249182148953, Process ID : 1036, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#6, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 4768.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1140, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#7, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.011008551427884474, RAM usage : 27136.0, Sent Data : 35.55338678482689, Received Data : 7.8689055774738845, Process ID : 1408, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#8, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.01947666791087253, RAM usage : 17656.0, Sent Data : 173515.28241430465, Received Data : 855.2128870683822, Process ID : 1644, Type : Windows
2016/01/20 14:35:33 Process Name : svchost#9, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 9376.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1916, Type : Windows
2016/01/20 14:35:33 Process Name : taskmgr, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.03133203098705581, RAM usage : 6752.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2548, Type : Windows
2016/01/20 14:35:33 Process Name : wininit, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 3464.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 580, Type : Windows
2016/01/20 14:35:33 Process Name : winlogon, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 6216.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 672, Type : Windows
2016/01/20 14:35:33 Process Name : wmpnetwk, MAC ID : 00:E0:4C:68:14:38, CPU usage : 0.0, RAM usage : 12576.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4460, Type : Windows
