2016/01/20 14:24:59 Process Name : explorer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 2.072598620983424, RAM usage : 89636.0, Sent Data : 22876.13441292976, Received Data : 212.0655951671948, Process ID : 2384, Type : Windows
2016/01/20 14:24:59 Process Name : httpd, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2504, Type : Windows
2016/01/20 14:24:59 Process Name : httpd#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4704, Type : Windows
2016/01/20 14:24:59 Process Name : igfxEM, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2944, Type : Windows
2016/01/20 14:24:59 Process Name : igfxHK, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2424.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3824, Type : Windows
2016/01/20 14:24:59 Process Name : igfxTray, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1628, Type : Windows
2016/01/20 14:24:59 Process Name : jucheck, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4568, Type : Windows
2016/01/20 14:24:59 Process Name : jusched, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 4528.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2936, Type : Windows
2016/01/20 14:24:59 Process Name : lsass, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.02576582341084621, RAM usage : 7576.0, Sent Data : 341.64909356395236, Received Data : 540.2100194272696, Process ID : 724, Type : Windows
2016/01/20 14:24:59 Process Name : lsm, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 5952.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 736, Type : Windows
2016/01/20 14:24:59 Process Name : msseces, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2716, Type : Windows
2016/01/20 14:24:59 Process Name : mysqld, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4788, Type : Windows
2016/01/20 14:24:59 Process Name : notepad, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 1.024070306439751, RAM usage : 26120.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3408, Type : Windows
2016/01/20 14:24:59 Process Name : oracle, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 1.1424280135278673, RAM usage : 1393864.0, Sent Data : 108785.70551103773, Received Data : 78610.70205257993, Process ID : 2928, Type : Windows
2016/01/20 14:24:59 Process Name : services, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 5076.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 716, Type : Windows
2016/01/20 14:24:59 Process Name : smss, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 572.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 356, Type : Windows
2016/01/20 14:24:59 Process Name : spoolsv, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 13336.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1464, Type : Windows
2016/01/20 14:24:59 Process Name : sshd, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 15728.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 996, Type : Windows
2016/01/20 14:24:59 Process Name : svchost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.24479321509322338, RAM usage : 10048.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 832, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 9632.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 912, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#10, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1244, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#11, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4292, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#2, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 3.159569703556157, RAM usage : 304248.0, Sent Data : 1.0483120547379164E7, Received Data : 21491.58545438119, Process ID : 412, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#3, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.8545958139784402, RAM usage : 90468.0, Sent Data : 237027.19285756967, Received Data : 5223.9820852283065, Process ID : 568, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#4, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 7280.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 416, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#5, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.27082026120033414, RAM usage : 40852.0, Sent Data : 61812.07314058936, Received Data : 10261.978076699304, Process ID : 928, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#6, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 4540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1124, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#7, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.05146373776378168, RAM usage : 25692.0, Sent Data : 131.4655014843634, Received Data : 134.6617465836706, Process ID : 1320, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#8, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6664.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1516, Type : Windows
2016/01/20 14:24:59 Process Name : svchost#9, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.02581904306732767, RAM usage : 9692.0, Sent Data : 1112.1291680596125, Received Data : 0.0, Process ID : 1968, Type : Windows
2016/01/20 14:24:59 Process Name : taskhost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.012902858787039466, RAM usage : 14376.0, Sent Data : 54896.724449881905, Received Data : 24399.198177261653, Process ID : 2272, Type : Windows
2016/01/20 14:24:59 Process Name : taskmgr, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.025805717574078933, RAM usage : 6628.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2976, Type : Windows
2016/01/20 14:24:59 Process Name : wininit, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3540.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 596, Type : Windows
2016/01/20 14:24:59 Process Name : winlogon, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6744.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 688, Type : Windows
2016/01/20 14:24:59 Process Name : wmpnetwk, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 0.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2620, Type : Windows
2016/01/20 14:24:59 Process Name : wpsupdatesvr, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2416.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1788, Type : Windows
2016/01/20 14:26:31 Process Name : FCUpdateService, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3684.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2032, Type : Windows
2016/01/20 14:26:31 Process Name : GWX, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 6560.0, Sent Data : 0.2436045293019058, Received Data : 0.3360061844086903, Process ID : 2532, Type : Windows
2016/01/20 14:26:31 Process Name : HeciServer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3856.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 656, Type : Windows
2016/01/20 14:26:31 Process Name : IpOverUsbSvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 16928.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1584, Type : Windows
2016/01/20 14:26:31 Process Name : Jhi_service, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 2824.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4536, Type : Windows
2016/01/20 14:26:31 Process Name : MsMpEng, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 11.754987796736613, RAM usage : 390056.0, Sent Data : 133329.55613978053, Received Data : 1949.9901906371026, Process ID : 976, Type : Windows
2016/01/20 14:26:31 Process Name : NisSrv, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 26520.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 628, Type : Windows
2016/01/20 14:26:31 Process Name : PresentationFontCach, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 54808.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4060, Type : Windows
2016/01/20 14:26:31 Process Name : Project, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.21993221575289093, RAM usage : 86572.0, Sent Data : 6.0946025380954465, Received Data : 1565.6975377013946, Process ID : 3188, Type : Windows
2016/01/20 14:26:31 Process Name : RAVCpl64, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 27904.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2724, Type : Windows
2016/01/20 14:26:31 Process Name : SearchFilterHost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 3.871515047887902, RAM usage : 5536.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3672, Type : Windows
2016/01/20 14:26:31 Process Name : SearchIndexer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.08869782777260704, RAM usage : 79576.0, Sent Data : 0.0, Received Data : 204.009296682113, Process ID : 2512, Type : Windows
2016/01/20 14:26:31 Process Name : SearchProtocolHost, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.08869782806078484, RAM usage : 5336.0, Sent Data : 398.4365953519157, Received Data : 0.0, Process ID : 896, Type : Windows
2016/01/20 14:26:31 Process Name : SinhalaTamil IME, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 4648.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2968, Type : Windows
2016/01/20 14:26:31 Process Name : SkypeC2CPNRSvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 3912.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1924, Type : Windows
2016/01/20 14:26:31 Process Name : TSVNCache, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 8.188845960513263E-4, RAM usage : 6872.0, Sent Data : 249.8666348858402, Received Data : 7.571726652434464, Process ID : 2484, Type : Windows
2016/01/20 14:26:31 Process Name : beasvc, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 1564.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2884, Type : Windows
2016/01/20 14:26:31 Process Name : csrss, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.004118517866944226, RAM usage : 4532.0, Sent Data : 124.78077617258604, Received Data : 0.0, Process ID : 528, Type : Windows
2016/01/20 14:26:31 Process Name : csrss#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.056504887966835816, RAM usage : 6968.0, Sent Data : 506.9074472557018, Received Data : 0.0, Process ID : 620, Type : Windows
2016/01/20 14:26:31 Process Name : cygrunsrv, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 12480.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2984, Type : Windows
2016/01/20 14:26:31 Process Name : dwm, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.3139583845100568, RAM usage : 61452.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2348, Type : Windows
2016/01/20 14:26:31 Process Name : explorer, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.27303590971249425, RAM usage : 87532.0, Sent Data : 1106.5646782629865, Received Data : 26.298867525155796, Process ID : 2384, Type : Windows
2016/01/20 14:26:31 Process Name : httpd, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 18896.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2504, Type : Windows
2016/01/20 14:26:31 Process Name : httpd#1, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 22224.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4704, Type : Windows
2016/01/20 14:26:31 Process Name : igfxEM, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 8312.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 2944, Type : Windows
2016/01/20 14:26:31 Process Name : igfxHK, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 5832.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 3824, Type : Windows
2016/01/20 14:26:31 Process Name : igfxTray, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 7780.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 1628, Type : Windows
2016/01/20 14:26:31 Process Name : jucheck, MAC ID : 00:E0:4C:68:14:3E, CPU usage : 0.0, RAM usage : 14052.0, Sent Data : 0.0, Received Data : 0.0, Process ID : 4568, Type : Windows
